,ID,TRADER,COMMAND,TICKER,POSITIONS,NET_PRICE,OPENING,DATE,AVG_PRICE,CLOSED,PROFIT
145,9057df572a7511ebafc23800255995ba,Eddy_Trades,standard,BA,1,0.1,True,10/20/21,2.2,True,-1.0
146,4253268d2a7611ebb1c03800255995ba,TacoTradez🌮,standard,BA,1,-5.9,True,11/27,,True,-61.36
147,857fbde62a7611eb94e83800255995ba,Eddy_Trades,standard,BA,1,-1.87,True,11/27,1.8,True,-24.06
148,36cb16fa2a7711ebbcb63800255995ba,Reventing,standard,SPY,1,-2.55,True,11/20,,True,-25.49
149,b504bf562a7811eb80da3800255995ba,TacoTradez🌮,standard,TSLA,1,-10.4,True,11/20,,True,3.85
150,bdee85ea2a7811eb82413800255995ba,Eddy_Trades,standard,TSLA,1,-3.5,True,11/20,3.5,True,0.1
151,bf32e24b2a7811eb86963800255995ba,manprit123,standard,SPCE,1,-1.08,True,11/27,,True,42.59
152,01e27f6e2a7911ebb1b33800255995ba,TacoTradez🌮,standard,SPCE,1,-0.89,True,11/27,,True,58.43
153,025cafa92a7911eb90523800255995ba,russellnoonan,standard,TSLA,1,-9.3,True,11/27,8.9,True,386.56
154,14cb03972a7911ebad8f3800255995ba,Visvim,standard,SPY,1,-2.31,True,11/27,1.27,True,-6.06
155,fcf345d32a7a11eba6683800255995ba,Doktar Evil,standard,BA,1,-2.18,True,11/27,2.1,True,-20.1
156,1aa825b92a7d11ebb1c63800255995ba,Reventing,standard,BA,1,-2.09,True,11/27,,True,-15.31
157,1aa726782a8011eb9da03800255995ba,raj_alert,standard,BBY,1,-3.75,True,11/27,,True,16.0
158,73d3d43c2a8011eba2533800255995ba,SammySnipes,standard,ZM,1,-5.2,True,11/27,,True,-23.08
159,3af7f3642a8411eba5a13800255995ba,BigCat,standard,ROKU,1,-2.31,True,11/20,1.74,True,7.79
160,4e5e910e2a8411ebbb4c3800255995ba,TacoTradez🌮,standard,TSLA,1,-16.4,True,11/27,,True,-52.74
161,9ad7c3b92a8511ebac023800255995ba,Eddy_Trades,standard,TSLA,1,-3.8,True,11/20,3.7,True,0.1
162,4c60d0f82a8711eba5d43800255995ba,SilverSurfie,standard,AMD,1,-1.24,True,11/27,1.16,True,13.71
163,4bcb57862a8911ebaf083800255995ba,TacoTradez🌮,standard,ROKU,1,-8.2,True,11/27,,True,19.51
164,7bfa7e6d2a8911ebb0e23800255995ba,SilverSurfie,standard,SNAP,1,-0.93,True,11/27,0.57,True,9.68
165,45b58dff2a8d11eb95423800255995ba,Dick Branson,standard,SPCE,1,-1.16,True,12/18,,True,11.21
166,7ba36a552a9111eb96b53800255995ba,cMoney💰,standard,SPCE,1,-0.56,True,11/20,,True,12.5
167,58dc403a2a9211ebac1d3800255995ba,emraht,standard,FCEL,1,-1.23,True,12/18,1.23,True,208.94
168,0bc5d47f2a9911ebaf383800255995ba,Rich,standard,PTON,1,-2.69,True,12/4,2.62,True,30.11
169,3e24dfa42a9911eb83993800255995ba,emraht,standard,AMD,1,-1.35,True,12/04,1.36,True,199.26
170,4d9ddbdd2a9911eba6423800255995ba,Reventing,standard,AMZN,1,-4.6,True,11/27,,True,1.09
171,918899252a9a11eb8c4f3800255995ba,cMoney💰,standard,WBA,1,-0.39,True,12/04,,True,15.38
