,id,ticker,asset,symbol,quantity,date,side,trade_price,strike,bidPrice,askPrice,delta,theta,gamma,vega,description,trader,channel,time
1975,64aacb505b4b11ebb64e69f24171e6df,SNAP,OPTION,SNAP_012921C52,100,1/29,CALLS,2.02,52.0,2.0,2.02,0.5153,-0.1052,0.0781,0.0337,SNAP Jan 29 2021 52 Call,Rich,request-bot🤖,2021-01-20 18:14:53.852279
1976,e24458305b4e11ebb64e69f24171e6df,FEYE,OPTION,FEYE_031921C30,100,3/19,CALLS,0.54,30.0,0.53,0.54,0.1816,-0.0139,0.0432,0.0238,FEYE Mar 19 2021 30 Call,Rich,request-bot🤖,2021-01-20 18:39:54.670948
1977,a59d64145b5111ebb64e69f24171e6df,SNAP,OPTION,SNAP_012921C52,100,1/29,CALLS,1.79,52.0,1.77,1.79,0.4862,-0.1011,0.0805,0.0335,SNAP Jan 29 2021 52 Call,therealyoungari🌺,request-bot🤖,2021-01-20 18:59:40.314807
1978,8753da165b5511ebb64e69f24171e6df,TSLA,OPTION,TSLA_012921C950,100,1/29,CALLS,12.6,950.0,12.45,12.6,0.2156,-1.6308,0.0027,0.4065,TSLA Jan 29 2021 950 Call,Rich,request-bot🤖,2021-01-20 19:27:28.377287
1979,d9b561e65b5811ebb64e69f24171e6df,CCL,OPTION,CCL_021921C26,2,2/19,CALLS,0.24,26.0,0.23,0.24,0.1323,-0.0134,0.0561,0.0129,CCL Feb 19 2021 26 Call,ED🥴,request-bot🤖,2021-01-20 19:51:13.652009
1980,2489a1fa5b5911ebb64e69f24171e6df,MCD,OPTION,MCD_012921C220,100,1/29,CALLS,1.19,220.0,1.16,1.19,0.2384,-0.1419,0.0354,0.1076,MCD Jan 29 2021 220 Call,SammySnipes,sammysnipes-trades🥷🏼,2021-01-20 19:53:19.175085
1981,9b6935445b5c11ebb64e69f24171e6df,SNAP,OPTION,SNAP_012921C52,-100,1/29,CALLS,1.94,52.0,1.94,1.96,0.5148,-0.1012,0.0809,0.0337,SNAP Jan 29 2021 52 Call,therealyoungari🌺,request-bot🤖,2021-01-20 20:18:07.184724
1982,bbfabf6c5b5c11ebb64e69f24171e6df,X,OPTION,X_021921C23,3,2/19,CALLS,1.1,23.0,1.05,1.1,0.3705,-0.0292,0.0798,0.0228,X Feb 19 2021 23 Call,therealyoungari🌺,request-bot🤖,2021-01-20 20:19:01.799009
1983,057220725b5d11ebb64e69f24171e6df,NNDM,OPTION,NNDM_021921C12.5,2,2/19,CALLS,1.53,12.5,1.52,1.53,0.5094,-0.0304,0.085,0.0135,NNDM Feb 19 2021 12.5 Call,therealyoungari🌺,request-bot🤖,2021-01-20 20:21:05.057718
1984,7560d5d65b5d11ebb64e69f24171e6df,SPCE,OPTION,SPCE_021921C35,-1,2/19,CALLS,2.35,35.0,2.35,2.44,0.4243,-0.0562,0.0434,0.0362,SPCE Feb 19 2021 35 Call,therealyoungari🌺,request-bot🤖,2021-01-20 20:24:12.802258
1985,86e668a25b5d11ebb64e69f24171e6df,SPCE,OPTION,SPCE_021921C35,-1,02/19/21,C,2.36,35.0,2.36,2.44,0.4244,-0.0561,0.0434,0.0362,SPCE Feb 19 2021 35 Call,therealyoungari🌺,request-bot🤖,2021-01-20 20:24:42.058907
1986,43037a5c5b5e11ebb64e69f24171e6df,DG,OPTION,DG_020521C210,100,02/05,CALLS,2.0,210.0,1.8,2.0,0.3361,-0.0975,0.0418,0.1606,DG Feb 5 2021 210 Call,Eddy_Trades,general-chat-room🗣,2021-01-20 20:29:58.487529
1987,6c047d285b6011ebb64e69f24171e6df,SNAP,OPTION,SNAP_012921C52,-100,1/29,C,3.77,52.0,2.03,2.05,0.5185,-0.1054,0.0776,0.0337,SNAP Jan 29 2021 52 Call,Rich,request-bot🤖,2021-01-20 20:45:25.944979
1988,599359d85b6111ebb64e69f24171e6df,SNAP,OPTION,SNAP_012221C52.5,5,01/22,CALLS,0.72,52.5,0.7,0.72,0.4241,-0.1702,0.1669,0.0174,SNAP Jan 22 2021 52.5 Call,MrWendys,general-chat-room🗣,2021-01-20 20:52:05.599316
1989,0790f0c25b6211ebb64e69f24171e6df,SNAP,OPTION,SNAP_012221C52.5,-5,01/22/21,C,0.76,52.5,0.76,0.78,0.4522,-0.168,0.1735,0.0177,SNAP Jan 22 2021 52.5 Call,MrWendys,general-chat-room🗣,2021-01-20 20:56:56.399800
1990,3f05d4d25b6211ebb64e69f24171e6df,NVDA,OPTION,NVDA_012221C535,-100,01/22/21,C,5.75,535.0,5.75,5.9,0.5063,-1.0991,0.0271,0.1827,NVDA Jan 22 2021 535 Call,Eddy_Trades,general-chat-room🗣,2021-01-20 20:58:28.936186
1991,4d4d449e5b6211ebb64e69f24171e6df,NVDA,OPTION,NVDA_012921C550,100,01/29,CALLS,6.9,550.0,6.8,6.9,0.3329,-0.6066,0.0113,0.3164,NVDA Jan 29 2021 550 Call,Eddy_Trades,general-chat-room🗣,2021-01-20 20:58:53.090518
1992,8c9403ba5bf611ebb64e69f24171e6df,NOK,OPTION,NOK_041621C4,100,4/16,CALLS,0.52,4.0,0.51,0.52,0.6317,-0.0025,0.3642,0.0077,NOK Apr 16 2021 4 Call,dahonam,request-bot🤖,2021-01-21 14:40:06.182594
1993,e2ae02285bf611ebb64e69f24171e6df,DG,OPTION,DG_020521C210,-100,02/05/21,C,2.0,210.0,2.0,2.25,0.3677,-0.1087,0.0427,0.1614,DG Feb 5 2021 210 Call,Eddy_Trades,general-chat-room🗣,2021-01-21 14:42:29.050641
1994,5469cadc5bf711ebb64e69f24171e6df,FUBO,OPTION,FUBO_012921C35,100,1/29,CALLS,2.15,35.0,2.08,2.15,0.4301,-0.1689,0.0517,0.0198,FUBO Jan 29 2021 35 Call,Rich,request-bot🤖,2021-01-21 14:45:39.986077
1995,b7729b5e5bf711ebb64e69f24171e6df,NVDA,OPTION,NVDA_012221C540,100,01/22,CALLS,2.99,540.0,2.87,2.99,0.3312,-1.35,0.0284,0.1313,NVDA Jan 22 2021 540 Call,Eddy_Trades,request-bot🤖,2021-01-21 14:48:26.204798
1996,3af58a0e5bf811ebb64e69f24171e6df,CRM,OPTION,CRM_012921C235,100,1/29,CALLS,0.92,235.0,0.87,0.92,0.156,-0.1572,0.0211,0.0822,CRM Jan 29 2021 235 Call,Rich,request-bot🤖,2021-01-21 14:52:06.843794
1997,993bf5de5bf911ebb64e69f24171e6df,CRM,OPTION,CRM_012921C235,-100,01/29/21,C,0.77,235.0,0.77,0.8,0.1386,-0.1477,0.0193,0.0756,CRM Jan 29 2021 235 Call,Rich,request-bot🤖,2021-01-21 15:01:54.852889
1998,3654f2a85bfa11ebb64e69f24171e6df,HD,OPTION,HD_012921C285,100,1/29,CALLS,1.5,285.0,1.48,1.5,0.2693,-0.1752,0.0359,0.1421,HD Jan 29 2021 285 Call,Rich,request-bot🤖,2021-01-21 15:06:18.611492
1999,8d14aa205bfa11ebb64e69f24171e6df,FUBO,OPTION,FUBO_012921C35,-100,01/29/21,C,2.36,35.0,2.36,2.43,0.4684,-0.1702,0.0531,0.0206,FUBO Jan 29 2021 35 Call,Rich,general-chat-room🗣,2021-01-21 15:08:43.374124
2000,cb1176fe5bfb11ebb64e69f24171e6df,ACB,OPTION,ACB_012921C12,1,1/29,CALLS,0.43,12.0,0.42,0.43,0.3586,-0.0401,0.1955,0.0064,ACB Jan 29 2021 12 Call,Dick Branson,general-chat-room🗣,2021-01-21 15:17:38.458270
2001,60f16de45bfe11ebb64e69f24171e6df,VRM,OPTION,VRM_041621C40,100,04/16,CALLS,4.4,40.0,4.1,4.4,0.4904,-0.0319,0.0294,0.0715,VRM Apr 16 2021 40 Call,Eddy_Trades,general-chat-room🗣,2021-01-21 15:36:08.235007
2002,9efc50f85bff11ebb64e69f24171e6df,FSLY,OPTION,FSLY_012921C115,100,1/29,CALLS,1.78,115.0,1.62,1.78,0.2286,-0.2412,0.0222,0.0482,FSLY Jan 29 2021 115 Call,Rich,request-bot🤖,2021-01-21 15:45:01.685978
2003,0ab64a865c0211ebb64e69f24171e6df,FSLY,OPTION,FSLY_012921C115,-100,01/29/21,C,2.3,115.0,2.3,2.4,0.2785,-0.2765,0.0234,0.0544,FSLY Jan 29 2021 115 Call,Rich,general-chat-room🗣,2021-01-21 16:02:22.072124
2004,1912fe9a5c0611ebb64e69f24171e6df,NVDA,OPTION,NVDA_012221C540,-100,01/22/21,C,9.0,540.0,9.0,9.25,0.7008,-1.3169,0.0267,0.1286,NVDA Jan 22 2021 540 Call,Eddy_Trades,general-chat-room🗣,2021-01-21 16:31:23.426610
2005,7a05e5905c0711ebb64e69f24171e6df,QS,OPTION,QS_021921C50,100,2/19,CALLS,6.6,50.0,6.2,6.6,0.5238,-0.1217,0.0211,0.0538,QS Feb 19 2021 50 Call,Rich,request-bot🤖,2021-01-21 16:41:15.102242
2006,0852bf625c0811ebb64e69f24171e6df,NNDM,OPTION,NNDM_021921C12.5,-2,02/19/21,C,2.05,12.5,2.05,2.15,0.6135,-0.0327,0.0809,0.0142,NNDM Feb 19 2021 12.5 Call,therealyoungari🌺,request-bot🤖,2021-01-21 16:45:14.129322
2007,1d8552aa5c0811ebb64e69f24171e6df,X,OPTION,X_021921C23,2,2/19,CALLS,0.73,23.0,0.72,0.73,0.2856,-0.026,0.0744,0.019,X Feb 19 2021 23 Call,therealyoungari🌺,request-bot🤖,2021-01-21 16:45:49.396337
2008,2e167d745c0811ebb64e69f24171e6df,ZNGA,OPTION,ZNGA_021921C12,13,2/19,CALLS,0.48,12.0,0.45,0.48,0.3382,-0.0144,0.1577,0.0112,ZNGA Feb 19 2021 12 Call,therealyoungari🌺,request-bot🤖,2021-01-21 16:46:17.174023
2009,74f30dda5c0c11ebb64e69f24171e6df,HD,OPTION,HD_012921C285,-100,01/29/21,C,1.52,285.0,1.52,1.59,0.2784,-0.1745,0.0374,0.1446,HD Jan 29 2021 285 Call,Rich,general-chat-room🗣,2021-01-21 17:16:55.213803
2010,426e71f05c0d11ebb64e69f24171e6df,TSLA,OPTION,TSLA_012921C950,-100,01/29/21,C,9.0,950.0,9.0,9.15,0.1769,-1.5001,0.0026,0.338,TSLA Jan 29 2021 950 Call,Rich,general-chat-room🗣,2021-01-21 17:22:39.127056
2011,1eae25ac5c0e11ebb64e69f24171e6df,NVDA,OPTION,NVDA_020521C600,100,02/05,CALLS,2.75,600.0,2.64,2.75,0.1243,-0.2954,0.0045,0.2307,NVDA Feb 5 2021 600 Call,Eddy_Trades,request-bot🤖,2021-01-21 17:28:48.891025
